,,,2018-19 School Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Additional information is available in the School Grades calculations guide at http://www.fldoe.org/accountability/accountability-reporting/school-grades/.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2019,Grade 2018,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Was the collocated rule used?,Collocated Number,Charter School,Title I,Alternative/ESE Center School,School Type,Percent of Minority Students,Percent of Economically Disadvantaged Students
1,ALACHUA,957,ALACHUA LEARNING ACADEMY ELEMENTARY,386,5,77,100,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,N,,,,N,,YES,YES,N,1,31.3,53.2
1,ALACHUA,958,GENESIS PREPARATORY SCHOOL,134,2,67,100,A,A,A,F,D,,,,,,,,,,,,,,,,,N,,YES,YES,N,1,97.2,100
1,ALACHUA,961,MICANOPY  ACADEMY,419,7,60,99,B,A,B,C,B,D,C,,A,D,C,B,D,B,D,,,,,,,N,,YES,NO,N,4,29.9,17.8
1,ALACHUA,981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,418,5,84,100,A,A,A,A,A,A,,,,,,,,,,,,,,,,N,,YES,NO,N,1,23.2,12.1
1,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,631,9,70,98,A,A,A,A,A,A,A,A,,,,,,,,,,,,,,N,,YES,NO,N,2,44.2,56.6
1,ALACHUA,1012,BOULWARE SPRINGS CHARTER,438,7,63,99,A,B,A,D,C,,,,,,,,,,,,,,,,,N,,YES,YES,N,1,83,100
1,ALACHUA,1013,RESILIENCE CHARTER SCHOOL INC,435,9,48,100,C,C,B,,,,,,,,,,,,,,,,,,,N,,YES,NO,N,2,54.1,65.9
1,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),,,,,I,,,C,,,,,,,,,,,,,,,,,,N,,NO,NO,N,4,30.8,33.3
1,ALACHUA,7023,ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),,,,,I,,A,D,,,,,,,,,,,,,,,,,,N,,NO,NO,N,1,35,36.4
2,BAKER,12,BAKER COUNTY SENIOR HIGH SCHOOL,571,10,57,98,B,A,B,C,B,C,B,B,B,D,D,C,D,C,C,C,C,D,C,C,C,N,,NO,NO,N,3,17.5,65.7
2,BAKER,13,MACCLENNY ELEMENTARY SCHOOL,169,2,85,99,A,A,A,A,A,,,,,,,,,,,,,,,,,N,,NO,YES,N,1,22.3,84
2,BAKER,31,J FRANKLYN KELLER INTERMEDIATE SCHOOL,319,7,46,99,C,C,C,C,C,D,D,C,D,B,B,C,C,D,C,C,B,D,C,C,C,N,,NO,YES,N,1,20.4,87.6
2,BAKER,32,BAKER COUNTY MIDDLE SCHOOL,516,9,57,97,B,C,C,C,C,B,B,A,A,A,A,A,A,B,C,C,B,C,C,C,C,N,,NO,NO,N,2,19.2,82.5
2,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,147,2,74,100,A,A,A,A,A,A,,,,,,,,,,,,,,,,N,,NO,YES,N,1,16.5,100
3,BAY,61,BAY HIGH SCHOOL,574,10,57,97,B,B,C,C,A,B,A,B,B,B,D,B,C,C,D,D,C,C,C,C,C,N,,NO,YES,N,3,50,73.3
3,BAY,71,MERRITT BROWN MIDDLE SCHOOL,429,9,48,99,C,C,C,C,C,C,C,B,A,A,A,A,A,A,B,B,A,B,A,C,C,N,,NO,YES,N,2,18.9,100
3,BAY,81,HUTCHISON BEACH ELEMENTARY SCHOOL,406,7,58,99,B,C,B,C,B,D,C,B,A,B,B,A,A,A,B,A,A,A,B,B,C,N,,NO,YES,N,1,34.4,90.8
3,BAY,91,CEDAR GROVE ELEMENTARY SCHOOL,320,7,46,97,C,D,C,F,D,F,D,D,C,C,A,B,C,C,C,C,A,D,C,C,C,N,,NO,YES,N,1,59.7,85
3,BAY,101,CALLAWAY ELEMENTARY SCHOOL,280,7,40,100,D,C,B,C,C,D,D,C,B,C,C,B,A,C,B,B,A,B,C,A,C,N,,NO,YES,N,1,52.1,100
3,BAY,111,MERRIAM CHERRY STREET ELEMENTARY,471,7,67,98,A,A,B,F,D,D,C,B,A,A,A,A,B,A,A,A,A,C,A,C,C,N,,NO,YES,N,1,48.5,100
3,BAY,131,LUCILLE MOORE ELEMENTARY SCHOOL,345,7,49,100,C,D,D,D,C,F,D,C,B,C,B,A,B,A,B,C,A,B,C,C,C,N,,NO,YES,N,1,70.4,87.5
3,BAY,141,EVERITT MIDDLE SCHOOL,477,9,53,97,C,C,C,D,C,F,D,C,B,C,C,C,C,A,C,C,A,A,A,C,C,N,,NO,YES,N,2,55.7,100
3,BAY,151,HILAND PARK ELEMENTARY SCHOOL,320,7,46,100,C,C,C,D,D,C,B,A,A,B,A,A,A,A,A,A,A,B,A,A,C,N,,NO,YES,N,1,49.7,81.2
3,BAY,161,JINKS MIDDLE SCHOOL,362,9,40,98,D,C,C,D,C,D,C,B,A,C,A,A,B,A,B,B,A,A,B,C,C,N,,NO,YES,N,2,61.6,82.5
3,BAY,171,LYNN HAVEN ELEMENTARY SCHOOL,402,7,57,100,B,C,C,C,B,C,C,B,A,A,A,A,A,A,A,A,A,A,B,A,B,N,,NO,NO,N,1,24.5,71.6
