OBJECTID,Case Number,Crime Type,Crime Type Extension,Reported Date,Address,zip
1259088,2020-670900          ,THEFT,THEFT MOTOR VEHICLE PARTS,10/18/2020,15100 BLOCK LAUREL COVE CR,33556
1259251,2020-672561          ,BURGLARY,BURGLARY BUSINESS/ FORCED,10/19/2020,9700 BLOCK GUNN HW,33556
1259252,2020-672561          ,ARSON,ARSON,10/19/2020,9700 BLOCK GUNN HW,33556
1259269,2020-673623          ,TRAFFIC,Non Incapacitating Injury,10/19/2020,GUNN HW  /  PETERSON RD,33556
1259387,2020-676757          ,TRAFFIC,Property Damage,10/20/2020,VAN DYKE RD  /  GUNN HW,33556
1259859,2020-681545          ,TRAFFIC,Non Incapacitating Injury,10/22/2020,LUTZ LAKE FERN RD  /  MICHIGAN AV,33556
1260530,2020-687111          ,BATTERY,BATTERY-SIMPLE,10/24/2020,9500 BLOCK EDDINGS RD,33556
1260542,2020-688072          ,BURGLARY,THEFT FROM A VEHICLE,10/25/2020,7500 BLOCK DUNBRIDGE DR,33556
1260224,2020-682741          ,TRAFFIC,Non Incapacitating Injury,10/23/2020,GUNN HW  /  LUTZ LAKE FERN RD,33556
1260702,2020-689785          ,TRAFFIC,Incapacitating,10/26/2020,GUNN HW  /  LUTZ LAKE FERN RD,33556
1260703,2020-690403          ,TRAFFIC,Non Incapacitating Injury,10/26/2020,BOY SCOUT RD  /  GROVE LN,33556
1260954,2020-1502753         ,FRAUD,FRAUD-SWINDLE,10/27/2020,7200 BLOCK COLLEY RD,33556
1261088,2020-694314          ,TRAFFIC,Non Incapacitating Injury,10/27/2020,GUNN HW  /  VAN DYKE RD,33556
1261100,2020-692443          ,TRAFFIC,Property Damage,10/27/2020,GUNN HW  /  DONNA LU DR,33556
1261907,2020-703218          ,TRAFFIC,Property Damage,10/31/2020,GUNN HW  /  LUTZ LAKE FERN RD,33556
1261984,2020-706025          ,TRAFFIC,Non Incapacitating Injury,11/01/2020,PATTERSON RD  /  SILVER DOLLAR DR,33556
1262128,2020-705391          ,THEFT,THEFT VEHICLE & OTHER MOBILE,11/01/2020,17000 BLOCK SILVER SHORES LN,33556
1262332,2020-707996          ,TRAFFIC,Non Incapacitating Injury,11/02/2020,CRAWLEY RD  /  AQUA LN,33556
1262353,2020-1502804         ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,11/02/2020,19500 BLOCK CRESCENT RD,33556
1262688,2020-713900          ,DUI,DUI (DRIVING UNDER INFLUENCE),11/04/2020,GUNN HW  /  VAN DYKE RD,33556
1262707,2020-713640          ,TRAFFIC,Property Damage,11/04/2020,GUNN HW  /  VAN DYKE RD,33556
1262708,2020-713928          ,TRAFFIC,Non Incapacitating Injury,11/04/2020,GUNN HW  /  MISTY MORNING TL,33556
1263227,2020-720919          ,TRAFFIC,Non Incapacitating Injury,11/07/2020,RACE TRACK RD  /  PATTERSON RD,33556
1263228,2020-721114          ,TRAFFIC,Property Damage,11/07/2020,RACE TRACK RD  /  PATTERSON RD,33556
1263362,2020-721117          ,DUI,DUI (DRIVING UNDER INFLUENCE),11/07/2020,RACE TRACK RD  /  PATTERSON RD,33556
1263368,2020-722862          ,THEFT,THEFT OF BICYCLE,11/08/2020,16300 BLOCK NINE EAGLES DR,33556
1263548,2020-723439          ,TRAFFIC,Non Incapacitating Injury,11/09/2020,TARPON SPRINGS RD  /  PATTERSON RD,33556
1263549,2020-723468          ,TRAFFIC,Non Incapacitating Injury,11/09/2020,TARPON SPRINGS RD  /  PATTERSON RD,33556
1263550,2020-723490          ,TRAFFIC,Non Incapacitating Injury,11/09/2020,TARPON SPRINGS RD  /  PATTERSON RD,33556
1263558,2020-725188          ,TRAFFIC,Property Damage,11/09/2020,TARPON SPRINGS RD  /  GUNN HW,33556
1264357,2020-733358          ,TRAFFIC,Fatal Injury,11/13/2020,PATTERSON RD  /  EAGLES ENTRY DR,33556
1265141,2020-743868          ,TRAFFIC,Property Damage,11/17/2020,17600 BLOCK GUNN HW,33556
1265607,2020-749131          ,TRAFFIC,Property Damage,11/19/2020,VAN DYKE RD  /  GUNN HW,33556
1266031,2020-752740          ,TRAFFIC,Property Damage,11/21/2020,NORTH MOBLEY RD  /  GUNN HW,33556
1266391,2020-757085          ,TRAFFIC,Property Damage,11/23/2020,RACE TRACK RD  /  BOY SCOUT RD,33556
1266633,2020-1503020         ,FRAUD,FRAUD-IMPERSONATION,11/24/2020,15500 BLOCK EASTBOURN DR,33556
1267059,2020-764508          ,TRAFFIC,Incapacitating,11/26/2020,PATTERSON RD  /  EAGLES ENTRY DR,33556
1267073,2020-765588          ,TRAFFIC,Property Damage,11/26/2020,PATTERSON RD  /  PATSY ACRES DR,33556
1267240,2020-766098          ,BATTERY,BATTERY-SIMPLE,11/27/2020,17900 BLOCK CRAWLEY RD,33556
1267382,2020-768646          ,TRAFFIC,Property Damage,11/28/2020,12400 BLOCK EAGLES ENTRY DR,33556
1267468,2020-771432          ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,11/29/2020,10500 BLOCK TARPON SPRINGS RD,33556
1268645,2020-782174          ,TRAFFIC,Property Damage,12/04/2020,GUNN HW  /  TARPON SPRINGS RD,33556
1268990,2020-1503147         ,THEFT,SHOPLIFTING,12/06/2020,17600 BLOCK GUNN HW,33556
1269006,2020-787951          ,TRAFFIC,Non Incapacitating Injury,12/06/2020,TARPON SPRINGS RD  /  SPENCER RD,33556
1269197,2020-788304          ,BURGLARY,BURGLARY BUSINESS/ FORCED,12/07/2020,8800 BLOCK GUNN HW,33556
1269210,2020-788817          ,FRAUD,FRAUD-CREDIT CARD,12/07/2020,11500 BLOCK BELMACK BL N,33556
1269388,2020-791077          ,FRAUD,FRAUD-IMPERSONATION,12/08/2020,15200 BLOCK OCTAVIA LN,33556
1269504,2020-790866          ,FRAUD,FRAUD-OTHER,12/08/2020,6900 BLOCK COLLEY RD,33556
1270626,2020-806022          ,TRAFFIC,Property Damage,12/14/2020,RACE TRACK RD  /  INNFIELDS DR,33556
1271536,2020-814753          ,TRAFFIC,Property Damage,12/18/2020,GUNN HW  /  VAN DYKE RD,33556
1271641,2020-816947          ,TRAFFIC,Non Incapacitating Injury,12/19/2020,NINE EAGLES DR  /  KINGSMILL PL,33556
1271905,2020-819931          ,BURGLARY,THEFT FROM A VEHICLE,12/20/2020,7000 BLOCK LUTZ LAKE FERN RD,33556
1271962,2020-820273          ,BURGLARY,THEFT FROM A VEHICLE,12/20/2020,17100 BLOCK LONGACRES LN,33556
1271984,2020-821551          ,TRAFFIC,Incapacitating,12/21/2020,VAN DYKE RD  /  GUNN HW,33556
1271985,2020-821559          ,TRAFFIC,Property Damage,12/21/2020,VAN DYKE RD  /  GUNN HW,33556
1271997,2020-822680          ,TRAFFIC,Non Incapacitating Injury,12/21/2020,GUNN HW  /  VAN DYKE RD,33556
1272021,2020-821211          ,BURGLARY,BURGLARY BUSINESS/ FORCED,12/21/2020,8500 BLOCK GUNN HW,33556
1272110,2020-821256          ,BURGLARY,BURGLARY BUSINESS/ FORCED,12/21/2020,17600 BLOCK GUNN HW,33556
1272171,2020-821157          ,BURGLARY,BURGLARY BUSINESS/ FORCED,12/21/2020,8700 BLOCK GUNN HW,33556
1272798,2020-830310          ,TRAFFIC,Property Damage,12/25/2020,GUNN HW  /  VAN DYKE RD,33556
1272864,2020-830576          ,BATTERY,BATTERY-SIMPLE,12/25/2020,13100 BLOCK ROYAL GEORGE AV,33556
1272920,2020-833268          ,THEFT,THEFT MOTOR VEHICLE PARTS,12/26/2020,19000 BLOCK GUNN HW,33556
1272989,2020-833262          ,TRAFFIC,Property Damage,12/26/2020,GUNN HW  /  KODI LN,33556
1273040,2020-835245          ,TRAFFIC,Non Incapacitating Injury,12/27/2020,RACE TRACK RD  /  PATTERSON RD,33556
1273184,2020-835504          ,BATTERY,BATTERY-SIMPLE,12/27/2020,HORSE POND RD  /  PETERSON RD,33556
1273229,2020-1503429         ,FRAUD,FRAUD-IMPERSONATION,12/28/2020,12500 BLOCK EAGLES ENTRY DR,33556
1273774,2020-842026          ,TRAFFIC,Non Incapacitating Injury,12/30/2020,GUNN HW  /  KEYSTONE CROSSING BL,33556
1273775,2020-842263          ,TRAFFIC,Property Damage,12/30/2020,GUNN HW  /  NORTHTON GROVES BL,33556
1274200,2021-3610            ,TRAFFIC,Non Incapacitating Injury,01/02/2021,GUNN HW  /  NORTH MOBLEY RD,33556
1274567,2021-7199            ,TRAFFIC,Property Damage,01/04/2021,TARPON SPRINGS RD  /  BOY SCOUT RD,33556
1275518,2021-016453          ,TRAFFIC,Non Incapacitating Injury,01/08/2021,TARPON SPRINGS RD  /  PATTERSON RD,33556
1276203,2021-23324           ,FRAUD,FRAUD-SWINDLE,01/11/2021,18000 BLOCK MCKINNON RD,33556
1276245,2021-25720           ,TRAFFIC,Property Damage,01/12/2021,RACE TRACK RD  /  TRACKSIDE DR,33556
1276726,2021-1500121         ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,01/14/2021,8500 BLOCK BETH CT,33556
1276805,2021-31827           ,THEFT,THEFT FROM A BUILDING,01/15/2021,12700 BLOCK EAGLES ENTRY DR,33556
1277128,2021-34653           ,BATTERY,BATTERY-SIMPLE,01/16/2021,7000 BLOCK COLLEY RD,33556
1277954,2021-45675           ,ASSAULT,AGGRAVATED ASSAULT,01/21/2021,8200 BLOCK COPELAND RD,33556
1278060,2021-44174           ,TRAFFIC,Non Incapacitating Injury,01/21/2021,VAN DYKE RD  /  BROWN RD,33556
1278131,2021-47567           ,TRAFFIC,Non Incapacitating Injury,01/22/2021,BOY SCOUT RD  /  CASTLEBERRY RD,33556
1278487,2021-052374          ,TRAFFIC,Property Damage,01/24/2021,ISBELL LN  /  GUNN HW,33556
1278886,2021-55428           ,TRAFFIC,Non Incapacitating Injury,01/26/2021,TARPON SPRINGS RD  /  GUNN HW,33556
1279299,2021-59465           ,THEFT,PETIT THEFT - ALL OTHER,01/27/2021,8700 BLOCK BROOKE ANGELA DR,33556
1279300,2021-59465           ,MISCHIEF,CRIMINAL MISCHIEF MISDEMEANOR,01/27/2021,8700 BLOCK BROOKE ANGELA DR,33556
1279338,2021-60853           ,TRAFFIC,Non Incapacitating Injury,01/28/2021,TARPON SPRINGS RD  /  BOY SCOUT RD,33556
1279428,2021-60367           ,FRAUD,FRAUD-OTHER,01/28/2021,15600 BLOCK SHOAL CREEK PL,33556
1279594,2021-1500303         ,FRAUD,FRAUD-IMPERSONATION,01/29/2021,12400 BLOCK TARPON SPRINGS RD,33556
1279642,2021-62645           ,TRAFFIC,Fatal Injury,01/29/2021,RACE TRACK RD / SOUTHMOBLEY RD,33556
1279939,2021-66581           ,THEFT,PETIT THEFT - ALL OTHER,01/31/2021,10900 BLOCK TARPON SPRINGS RD,33556
1280076,2021-69840           ,TRAFFIC,Property Damage,02/01/2021,PATTERSON RD  /  SILVER DOLLAR DR,33556
1280261,2021-1500335         ,FRAUD,FRAUD-SWINDLE,02/01/2021,9100 BLOCK ROBERTS RD,33556
